id,vote,Last Grade in School,Age,Gender,Latino or Hispanic Origin,Race,Party,Region
1,2,7,60,1,2,1,4,WY
2,,3,36,1,2,1,4,WY
3,1,3,70,1,2,1,1,WV
4,1,5,40,2,2,1,1,WV
5,2,5,75,2,2,1,2,WV
6,2,3,52,2,2,1,2,WV
7,1,7,50,1,2,1,2,WV
8,1,7,37,2,2,1,3,WV
9,1,3,39,2,2,1,1,WV
10,2,3,60,1,2,1,3,WV
11,2,3,54,2,2,1,2,WV
12,1,5,61,1,2,1,2,WV
13,2,5,69,2,2,1,2,WV
14,2,8,50,2,2,1,3,WV
15,,3,21,1,2,1,4,WV
16,2,5,53,1,2,2,2,WI
17,2,7,41,1,2,1,3,WI
18,1,7,45,2,2,1,1,WI
19,2,7,65,2,2,1,2,WI
20,2,5,61,1,2,1,3,WI
21,1,7,29,2,2,1,1,WI
22,1,7,42,1,2,1,1,WI
23,,3,34,2,2,1,1,WI
24,2,8,36,2,2,1,2,WI
25,2,5,28,2,2,1,2,WI
26,1,3,55,2,2,1,1,WI
27,2,3,74,1,2,1,3,WI
28,1,7,65,2,2,1,1,WI
29,1,8,66,1,2,1,3,WI
30,,7,36,1,2,1,2,WI
31,2,5,50,2,2,1,3,WI
32,2,8,43,2,2,1,2,WI
33,2,3,64,2,1,1,3,WI
34,2,5,53,2,2,1,3,WI
35,2,8,90,2,2,1,3,WI
36,2,3,76,1,2,1,2,WI
37,2,5,65,1,2,1,2,WI
38,1,5,56,2,2,1,1,WI
39,2,3,33,2,2,1,2,WI
40,1,5,83,2,2,1,1,WI
41,1,3,18,2,2,1,4,WI
42,,3,63,2,1,5,3,WA
43,1,5,70,1,2,1,3,WA
44,2,5,55,2,2,1,2,WA
45,2,8,83,1,2,1,2,WA
46,2,8,63,2,2,1,2,WA
47,2,5,18,2,2,1,2,WA
48,2,3,82,1,2,1,3,WA
49,2,5,48,2,2,1,2,WA
50,2,7,65,2,2,1,3,WA
51,2,8,64,2,2,1,2,WA
52,1,3,84,2,2,1,1,WA
53,1,8,73,2,2,1,1,WA
54,2,8,57,2,2,1,2,WA
55,3,5,73,1,2,1,3,WA
56,4,3,70,1,2,1,3,VT
57,2,8,86,2,2,1,3,VT
58,2,3,52,2,2,1,2,VT
59,1,7,75,1,2,1,1,VA
60,2,7,65,2,2,1,2,VA
61,2,8,57,1,2,1,2,VA
62,1,3,78,1,2,1,1,VA
63,1,8,69,1,2,1,4,VA
64,,8,32,1,2,1,3,VA
65,,7,45,2,2,1,2,VA
66,1,5,79,1,2,1,1,VA
67,1,5,68,2,2,1,1,VA
68,1,8,43,2,2,2,3,VA
69,2,7,48,2,2,2,2,VA
70,2,5,40,2,2,2,2,VA
71,2,3,65,2,2,1,4,VA
72,1,5,69,1,2,1,1,VA
73,1,5,63,2,2,1,1,VA
74,2,5,60,2,2,1,2,VA
75,2,8,68,2,2,1,2,VA
76,1,7,45,2,2,1,3,VA
77,2,8,31,2,2,1,2,VA
78,2,8,53,2,2,2,2,VA
79,2,3,63,1,2,1,4,VA
80,2,5,84,2,2,2,2,VA
81,1,8,73,2,2,1,1,VA
82,1,3,77,1,2,5,3,VA
83,2,8,25,2,2,1,2,VA
84,1,7,40,2,2,1,1,VA
85,,3,68,1,2,1,4,UT
86,1,3,44,2,2,1,1,UT
87,1,8,80,1,2,1,3,UT
88,1,3,62,1,2,1,4,UT
89,2,3,45,2,1,5,2,UT
90,1,3,69,2,2,1,1,UT
91,1,7,66,2,2,1,1,UT
92,2,3,49,1,1,5,4,TX
